support,itemsets
0.5,frozenset({'FISIP_Pengunjung_Sedang'})
0.5,frozenset({'FISIP_Pengunjung_Tinggi'})
1.0,frozenset({'FKIP_Pengunjung_Tinggi'})
0.8333333333333334,frozenset({'FEBM_Pengunjung_Tinggi'})
0.6666666666666666,frozenset({'FIKP_Pengunjung_Tinggi'})
0.8333333333333334,frozenset({'FTTK_Pengunjung_Sedang'})
0.6666666666666666,frozenset({'FISIP_Peminjaman_Rendah'})
0.3333333333333333,frozenset({'FKIP_Peminjaman_Rendah'})
0.6666666666666666,frozenset({'FKIP_Peminjaman_Sedang'})
0.3333333333333333,frozenset({'FEBM_Peminjaman_Rendah'})
0.5,frozenset({'FEBM_Peminjaman_Sedang'})
1.0,frozenset({'FIKP_Peminjaman_Rendah'})
1.0,frozenset({'FTTK_Peminjaman_Rendah'})
0.5,"frozenset({'FISIP_Pengunjung_Sedang', 'FKIP_Pengunjung_Tinggi'})"
0.3333333333333333,"frozenset({'FEBM_Pengunjung_Tinggi', 'FISIP_Pengunjung_Sedang'})"
0.5,"frozenset({'FTTK_Pengunjung_Sedang', 'FISIP_Pengunjung_Sedang'})"
0.5,"frozenset({'FISIP_Peminjaman_Rendah', 'FISIP_Pengunjung_Sedang'})"
0.3333333333333333,"frozenset({'FKIP_Peminjaman_Rendah', 'FISIP_Pengunjung_Sedang'})"
0.3333333333333333,"frozenset({'FISIP_Pengunjung_Sedang', 'FEBM_Peminjaman_Rendah'})"
0.5,"frozenset({'FIKP_Peminjaman_Rendah', 'FISIP_Pengunjung_Sedang'})"
0.5,"frozenset({'FTTK_Peminjaman_Rendah', 'FISIP_Pengunjung_Sedang'})"
0.5,"frozenset({'FISIP_Pengunjung_Tinggi', 'FKIP_Pengunjung_Tinggi'})"
0.5,"frozenset({'FEBM_Pengunjung_Tinggi', 'FISIP_Pengunjung_Tinggi'})"
0.5,"frozenset({'FISIP_Pengunjung_Tinggi', 'FIKP_Pengunjung_Tinggi'})"
